10/10/2020 - 08:12:10
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,5044,19952,0
1000,5044,19952,2
5000,32017,123616,5
5000,32014,123616,1
5000,32008,123616,2
5000,32018,123616,1
5000,32013,123616,1
10000,69055,267232,2
10000,69050,267232,2
10000,69050,267232,3
10000,69044,267232,4
10000,69050,267232,0
50000,402638,1568928,25
50000,402667,1568928,17
50000,402553,1568928,18
50000,402568,1568928,13
50000,402643,1568928,14
100000,856322,3337856,31
100000,856434,3337856,32
100000,856443,3337856,31
100000,856342,3337856,31
100000,856355,3337856,30
21/10/2020 - 10:17:39
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,13640,4804,2
1000,14854,4744,0
1000,15314,4736,1
1000,13939,4846,1
1000,17573,4572,0
5000,91997,29310,2
5000,90961,29170,1
5000,98769,29330,1
5000,94129,29138,0
5000,89932,29312,1
10000,214715,62780,0
10000,200685,62980,0
10000,184082,63712,0
10000,198331,62950,1
10000,215589,62738,9
50000,1311316,367386,29
50000,1227493,373150,25
50000,1256248,370898,37
50000,1306827,365846,29
50000,1270080,370766,25
100000,2584956,787582,61
100000,2731587,781766,69
100000,2557449,787920,65
100000,2589450,786556,60
100000,2711445,780772,63
21/10/2020 - 10:17:39
MergeSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,5045,19952,1
1000,5045,19952,0
1000,5046,19952,0
1000,5044,19952,0
1000,5044,19952,0
5000,32013,123616,1
5000,32012,123616,3
5000,32014,123616,0
5000,32015,123616,8
5000,32011,123616,0
10000,69040,267232,9
10000,69035,267232,8
10000,69050,267232,0
10000,69043,267232,0
10000,69049,267232,1
50000,402641,1568928,10
50000,402621,1568928,10
50000,402597,1568928,13
50000,402606,1568928,43
50000,402636,1568928,17
100000,856473,3337856,35
100000,856317,3337856,35
100000,856364,3337856,31
100000,856317,3337856,35
100000,856442,3337856,36
21/10/2020 - 10:20:07
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,15105,4790,3
1000,13934,4648,0
1000,13475,4764,1
1000,16096,4666,0
1000,14883,4736,0
5000,90669,29524,1
5000,96376,29318,3
5000,88275,29636,1
5000,96778,29250,7
5000,91869,28842,2
10000,222869,62050,3
10000,196132,63504,12
10000,208749,62904,9
10000,208803,63100,5
10000,214570,62504,0
50000,1225695,368528,23
50000,1253632,370784,23
50000,1222053,370276,41
50000,1399048,360604,32
50000,1184025,372450,29
100000,2855205,775840,68
100000,2725074,787682,64
100000,2683006,786702,70
100000,2646068,789096,61
100000,2563215,790888,62
21/10/2020 - 10:20:07
MergeSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,5044,9976,1
1000,5044,9976,1
1000,5044,9976,0
1000,5047,9976,2
1000,5044,9976,1
5000,32016,61808,6
5000,32014,61808,2
5000,32017,61808,3
5000,32010,61808,2
5000,32016,61808,3
10000,69047,133616,0
10000,69041,133616,0
10000,69045,133616,1
10000,69037,133616,3
10000,69042,133616,7
50000,402602,784464,12
50000,402618,784464,8
50000,402651,784464,28
50000,402585,784464,14
50000,402568,784464,22
100000,856435,1668928,36
100000,856439,1668928,30
